patch,interaction_type,n_noeuds,n_arretes,n_interactions,s2_partners,n_s2_partners,ids_interactions,avg_contacts,s2_seq_clusters,n_s2_seq_clusters,binding_site_clusters,n_binding_site_clusters
0_65015_1,hetero,5,4,19,"['Myosin heavy chain 4', 'Myosin-6', 'Myosin-7', 'beta-cardiac myosin II']",4,"[np.int64(3267), np.int64(3254), np.int64(3240), np.int64(3227), np.int64(2447), np.int64(2424), np.int64(2405), np.int64(2352), np.int64(2383), np.int64(2329), np.int64(4346), np.int64(4280), np.int64(4248), np.int64(4221), np.int64(4196), np.int64(4314), np.int64(4256), np.int64(3195), np.int64(3208)]",97.32,826,1,"['6685_6', '6685_97', '826_11', '826_6']",4
0_84583_3,hetero,2,1,18,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(2311), np.int64(2361), np.int64(2245), np.int64(2225), np.int64(2202), np.int64(2181), np.int64(2157), np.int64(1932), np.int64(1889), np.int64(1523), np.int64(1507), np.int64(1486), np.int64(1468), np.int64(2333), np.int64(1776), np.int64(1754), np.int64(1725), np.int64(1700)]",55.06,67859,1,"['6685_263', '67859_3']",2
0_68029_0,hetero,2,1,16,['Spectrin beta chain'],1,"[np.int64(446), np.int64(428), np.int64(408), np.int64(386), np.int64(361), np.int64(337), np.int64(312), np.int64(283), np.int64(167), np.int64(148), np.int64(126), np.int64(102), np.int64(79), np.int64(54), np.int64(29), np.int64(7)]",31.88,58881,1,"['58881_0', '6685_121']",2
0_68029_1,hetero,2,1,16,['Spectrin beta chain'],1,"[np.int64(407), np.int64(385), np.int64(360), np.int64(336), np.int64(311), np.int64(282), np.int64(256), np.int64(226), np.int64(125), np.int64(101), np.int64(78), np.int64(53), np.int64(28), np.int64(6), np.int64(4581), np.int64(4563)]",117.06,58881,1,"['58881_1', '6685_141']",2
0_84526_0,hetero,2,1,12,['VopV'],1,"[np.int64(3619), np.int64(3598), np.int64(3572), np.int64(3550), np.int64(3529), np.int64(3515), np.int64(3494), np.int64(3474), np.int64(3455), np.int64(3440), np.int64(3423), np.int64(3407)]",96.08,67714,1,"['6685_257', '67714_0']",2
0_37133_0,hetero,2,1,11,['Epididymis secretory protein Li 37'],1,"[np.int64(4339), np.int64(4307), np.int64(4274), np.int64(4244), np.int64(4215), np.int64(4191), np.int64(4176), np.int64(4160), np.int64(4144), np.int64(4129), np.int64(4113)]",76.55,50357,1,"['50357_0', '6685_16', '6685_29']",3
0_84526_2,hetero,2,1,11,['VopV'],1,"[np.int64(3621), np.int64(3597), np.int64(3574), np.int64(3549), np.int64(3514), np.int64(3493), np.int64(3473), np.int64(3454), np.int64(3439), np.int64(3422), np.int64(3406)]",55.91,67714,1,"['6685_259', '67714_2']",2
0_84526_1,hetero,2,1,11,['VopV'],1,"[np.int64(3620), np.int64(3599), np.int64(3573), np.int64(3548), np.int64(3530), np.int64(3513), np.int64(3495), np.int64(3475), np.int64(3456), np.int64(3441), np.int64(3424)]",51.64,67714,1,"['6685_258', '67714_1']",2
0_84528_0,hetero,2,1,11,['Vibrio VopV'],1,"[np.int64(3771), np.int64(3752), np.int64(3731), np.int64(3709), np.int64(3685), np.int64(3663), np.int64(3636), np.int64(3613), np.int64(3591), np.int64(3566), np.int64(3543)]",97.45,68960,1,"['6685_257', '68960_0']",2
0_84528_1,hetero,2,1,10,['Vibrio VopV'],1,"[np.int64(3772), np.int64(3753), np.int64(3732), np.int64(3710), np.int64(3686), np.int64(3664), np.int64(3637), np.int64(3614), np.int64(3592), np.int64(3567)]",63.6,68960,1,"['6685_259', '68960_1']",2
0_84528_2,hetero,2,1,10,['Vibrio VopV'],1,"[np.int64(3751), np.int64(3730), np.int64(3708), np.int64(3684), np.int64(3662), np.int64(3635), np.int64(3612), np.int64(3590), np.int64(3565), np.int64(3542)]",50.1,68960,1,"['6685_258', '68960_2']",2
0_36172_1,hetero,2,1,9,['Catenin alpha-1'],1,"[np.int64(1026), np.int64(1007), np.int64(987), np.int64(964), np.int64(944), np.int64(797), np.int64(778), np.int64(3172), np.int64(3119)]",70.33,855,1,"['6685_0', '6685_102', '855_3']",3
0_36172_0,hetero,2,1,9,['Catenin alpha-1'],1,"[np.int64(1039), np.int64(1027), np.int64(1008), np.int64(988), np.int64(963), np.int64(812), np.int64(795), np.int64(3153), np.int64(3173)]",89.89,855,1,"['6685_141', '6685_16', '855_2']",3
0_7797_45,homo,1,1,9,[],0,"[np.int64(901), np.int64(888), np.int64(871), np.int64(854), np.int64(2560), np.int64(2547), np.int64(2530), np.int64(2507), np.int64(2873)]",102.11,6685,1,"['6685_3', '6685_4']",2
0_65015_0,hetero,4,3,9,"['Myosin heavy chain 4', 'Myosin-7', 'beta-cardiac myosin II']",3,"[np.int64(3241), np.int64(3228), np.int64(3214), np.int64(2403), np.int64(2381), np.int64(2351), np.int64(2328), np.int64(4225), np.int64(3263)]",18.11,826,1,"['6685_140', '6685_193', '6685_25', '826_12', '826_5']",5
0_37133_1,hetero,2,1,9,['Epididymis secretory protein Li 37'],1,"[np.int64(4340), np.int64(4308), np.int64(4275), np.int64(4243), np.int64(4216), np.int64(4190), np.int64(4177), np.int64(4159), np.int64(4128)]",43.56,50357,1,"['50357_1', '6685_15']",2
0_71809_1,hetero,2,1,8,['Cell invasion protein SipA'],1,"[np.int64(1281), np.int64(1295), np.int64(1326), np.int64(1362), np.int64(159), np.int64(140), np.int64(65), np.int64(42)]",104.5,61390,1,"['61390_1', '61390_5', '6685_180']",3
0_71809_0,hetero,2,1,7,['Cell invasion protein SipA'],1,"[np.int64(1313), np.int64(1280), np.int64(1361), np.int64(1380), np.int64(160), np.int64(89), np.int64(66)]",67.14,61390,1,"['61390_0', '61390_6', '6685_178']",3
0_71809_3,hetero,2,1,7,['Cell invasion protein SipA'],1,"[np.int64(1296), np.int64(1344), np.int64(1327), np.int64(139), np.int64(114), np.int64(41), np.int64(17)]",67.29,61390,1,"['61390_3', '61390_7', '6685_179', '6685_191']",4
0_7797_33,homo,1,1,7,[],0,"[np.int64(2544), np.int64(2526), np.int64(2398), np.int64(2324), np.int64(2299), np.int64(2914), np.int64(2852)]",80.29,6685,1,"['6685_117', '6685_3', '6685_4']",3
0_68025_0,hetero,2,1,6,['Dematin actin binding protein'],1,"[np.int64(402), np.int64(355), np.int64(306), np.int64(120), np.int64(73), np.int64(23)]",101.0,58988,1,"['58988_0', '6685_158']",2
0_68025_1,hetero,2,1,6,['Dematin actin binding protein'],1,"[np.int64(380), np.int64(331), np.int64(277), np.int64(96), np.int64(48), np.int64(1)]",114.67,58988,1,"['58988_1', '6685_159']",2
0_68025_2,hetero,2,1,6,['Dematin actin binding protein'],1,"[np.int64(354), np.int64(305), np.int64(251), np.int64(72), np.int64(22), np.int64(4576)]",28.33,58988,1,"['58988_2', '6685_160']",2
0_37640_0,hetero,2,1,6,['F-actin-capping protein subunit alpha-1'],1,"[np.int64(666), np.int64(1807), np.int64(1685), np.int64(1982), np.int64(730), np.int64(4200)]",32.17,17396,1,"['17396_6', '17396_9', '6685_68', '6685_91']",4
0_39640_1,hetero,2,1,5,['Catenin alpha-1'],1,"[np.int64(4005), np.int64(3986), np.int64(4029), np.int64(3972), np.int64(3953)]",77.2,19589,1,"['19589_3', '6685_0']",2
0_7797_34,homo,1,1,5,[],0,"[np.int64(2503), np.int64(2461), np.int64(2442), np.int64(2298), np.int64(2275)]",24.4,6685,1,"['6685_115', '6685_116', '6685_2']",3
0_39640_0,hetero,2,1,5,['Catenin alpha-1'],1,"[np.int64(4052), np.int64(4006), np.int64(4028), np.int64(3971), np.int64(3954)]",86.0,19589,1,"['19589_2', '6685_16']",2
0_40054_0,hetero,2,1,5,['Myosin-7'],1,"[np.int64(130), np.int64(104), np.int64(151), np.int64(4543), np.int64(4440)]",104.2,48,1,"['48_1', '6685_18', '6685_6']",3
0_58710_0,hetero,2,1,5,"['Maltose/maltodextrin-binding periplasmic protein,Adenylate cyclase ExoY']",1,"[np.int64(3144), np.int64(3128), np.int64(3159), np.int64(3110), np.int64(3092)]",138.0,53936,1,"['53936_0', '6685_95']",2
0_71809_2,hetero,2,1,5,['Cell invasion protein SipA'],1,"[np.int64(1346), np.int64(1311), np.int64(1379), np.int64(112), np.int64(90)]",25.4,61390,1,"['61390_2', '61390_8', '6685_154']",3
0_30898_0,hetero,2,1,5,['Filamin-A'],1,"[np.int64(3696), np.int64(3673), np.int64(3743), np.int64(3651), np.int64(3719)]",120.0,15620,1,"['15620_0', '6685_16']",2
0_86788_0,hetero,2,1,5,['Inositol-trisphosphate 3-kinase A'],1,"[np.int64(1509), np.int64(1567), np.int64(1526), np.int64(1490), np.int64(1550)]",46.0,69425,1,"['6685_144', '69425_0']",2
0_7797_11,homo,1,1,5,[],0,"[np.int64(946), np.int64(1010), np.int64(991), np.int64(929), np.int64(517)]",19.8,6685,1,"['6685_17', '6685_19']",2
0_65066_1,hetero,2,1,5,['Alpha-catenin-like protein hmp-1'],1,"[np.int64(1116), np.int64(1103), np.int64(1087), np.int64(1071), np.int64(1054)]",59.0,57692,1,"['57692_1', '6685_0']",2
0_86523_0,hetero,2,1,5,['Adenylyl cyclase-associated protein 1'],1,"[np.int64(2317), np.int64(2188), np.int64(2099), np.int64(1994), np.int64(1975)]",83.8,69254,1,"['6685_65', '69254_0']",2
0_65066_0,hetero,2,1,5,['Alpha-catenin-like protein hmp-1'],1,"[np.int64(1127), np.int64(1117), np.int64(1104), np.int64(1088), np.int64(1070)]",91.6,57692,1,"['57692_0', '6685_141']",2
0_77539_0,hetero,2,1,4,['Cell invasion protein SipA'],1,"[np.int64(3817), np.int64(3795), np.int64(3842), np.int64(3861)]",76.25,64640,1,"['64640_0', '6685_180']",2
0_55905_0,hetero,2,1,4,['Actin-related protein 3'],1,"[np.int64(3926), np.int64(1680), np.int64(4569), np.int64(4403)]",126.5,7269,1,"['6685_3', '7269_3']",2
0_3733_0,hetero,2,1,4,['Deoxyribonuclease-1'],1,"[np.int64(952), np.int64(935), np.int64(885), np.int64(867)]",73.25,19992,1,"['19992_0', '6685_38']",2
0_71990_0,hetero,2,1,4,['Cell invasion protein SipA'],1,"[np.int64(343), np.int64(321), np.int64(236), np.int64(215)]",68.0,29706,1,"['29706_0', '6685_189']",2
0_71990_1,hetero,2,1,4,['Cell invasion protein SipA'],1,"[np.int64(320), np.int64(293), np.int64(214), np.int64(197)]",68.25,29706,1,"['29706_1', '6685_191']",2
0_71990_2,hetero,2,1,4,['Cell invasion protein SipA'],1,"[np.int64(292), np.int64(265), np.int64(196), np.int64(176)]",32.0,29706,1,"['29706_2', '6685_192']",2
0_62064_0,hetero,2,1,4,['Actin-related protein 2'],1,"[np.int64(2542), np.int64(4414), np.int64(2925), np.int64(2871)]",38.25,8956,1,"['6685_109', '8956_10']",2
0_62064_1,hetero,2,1,4,['Actin-related protein 2'],1,"[np.int64(2523), np.int64(4391), np.int64(2911), np.int64(2849)]",93.5,8956,1,"['6685_3', '8956_11']",2
0_7797_53,homo,1,1,4,[],0,"[np.int64(1827), np.int64(1787), np.int64(1739), np.int64(1710)]",54.0,6685,1,"['6685_2', '6685_216', '6685_274']",3
0_65015_2,hetero,2,1,4,['Myosin-6'],1,"[np.int64(4220), np.int64(4347), np.int64(4197), np.int64(4315)]",26.5,826,1,"['6685_193', '6685_248', '826_5']",3
0_78931_0,hetero,2,1,4,['Talin-1'],1,"[np.int64(719), np.int64(699), np.int64(680), np.int64(663)]",134.25,65302,1,"['65302_0', '6685_250']",2
0_54455_3,hetero,2,1,4,['F-actin-capping protein subunit beta'],1,"[np.int64(667), np.int64(1808), np.int64(1686), np.int64(1983)]",76.25,18205,1,"['18205_3', '6685_170']",2
0_62063_0,hetero,2,1,4,['Actin-related protein 3'],1,"[np.int64(2541), np.int64(4413), np.int64(2924), np.int64(2870)]",122.0,7715,1,"['6685_3', '7715_10']",2
0_71809_5,hetero,2,1,4,['Cell invasion protein SipA'],1,"[np.int64(113), np.int64(91), np.int64(16), np.int64(4591)]",29.0,61390,1,"['61390_9', '6685_192']",2
0_64884_1,hetero,3,2,4,"['Isoform A2 of Troponin T, cardiac muscle', 'Troponin T2, cardiac type']",2,"[np.int64(4377), np.int64(4357), np.int64(4064), np.int64(4044)]",66.25,57534,1,"['57534_1', '6685_138']",2
0_64117_5,hetero,2,1,4,['Tropomyosin alpha-1 chain'],1,"[np.int64(4376), np.int64(4356), np.int64(4063), np.int64(4043)]",7.5,57138,1,"['57138_6', '6685_135', '6685_252']",3
0_64884_0,hetero,3,2,4,"['Isoform A2 of Troponin T, cardiac muscle', 'Troponin T2, cardiac type']",2,"[np.int64(4422), np.int64(4399), np.int64(4104), np.int64(4085)]",54.0,57534,1,"['57534_0', '6685_136']",2
0_39587_1,hetero,2,1,4,['Actin-related protein 2'],1,"[np.int64(3902), np.int64(1661), np.int64(4553), np.int64(4382)]",94.5,52041,1,"['52041_5', '6685_3']",2
0_39587_0,hetero,2,1,4,['Actin-related protein 2'],1,"[np.int64(3927), np.int64(1681), np.int64(4570), np.int64(4404)]",39.5,52041,1,"['52041_4', '6685_1', '6685_109']",3
0_62487_1,hetero,2,1,3,['Plastin-3'],1,"[np.int64(2023), np.int64(1963), np.int64(1944)]",32.67,56034,1,"['56034_1', '6685_121']",2
0_39365_1,hetero,2,1,3,['Utrophin'],1,"[np.int64(3849), np.int64(3803), np.int64(3826)]",112.67,21605,1,"['21605_2', '6685_16']",2
0_76571_0,hetero,2,1,3,['Gelsolin'],1,"[np.int64(1066), np.int64(978), np.int64(957)]",81.67,1054,1,"['1054_6', '6685_231']",2
0_55905_1,hetero,2,1,3,['Actin-related protein 3'],1,"[np.int64(1780), np.int64(4484), np.int64(4295)]",32.0,7269,1,"['6685_142', '7269_10']",2
0_65468_0,hetero,2,1,3,['Actin-related protein 2/3 complex subunit 3'],1,"[np.int64(1822), np.int64(4528), np.int64(4361)]",15.33,30084,1,"['30084_4', '6685_113']",2
0_39365_0,hetero,2,1,3,['Utrophin'],1,"[np.int64(3787), np.int64(3768), np.int64(3802)]",31.67,21605,1,"['21605_1', '6685_15']",2
0_7797_31,homo,1,1,3,[],0,"[np.int64(2573), np.int64(2315), np.int64(2206)]",38.67,6685,1,"['6685_2', '6685_274']",2
0_7797_32,homo,1,1,3,[],0,"[np.int64(1094), np.int64(1075), np.int64(1059)]",83.67,6685,1,"['6685_3', '6685_4']",2
0_38911_1,hetero,2,1,3,['Myosin-A'],1,"[np.int64(1883), np.int64(1817), np.int64(1748)]",34.67,1128,1,"['1128_3', '6685_69']",2
0_65469_0,hetero,2,1,3,['Actin-related protein 2/3 complex subunit 4'],1,"[np.int64(1733), np.int64(4452), np.int64(4235)]",65.0,30919,1,"['30919_5', '6685_114']",2
0_76571_1,hetero,2,1,3,['Gelsolin'],1,"[np.int64(1036), np.int64(939), np.int64(922)]",204.67,1054,1,"['1054_8', '6685_233']",2
0_38911_0,hetero,2,1,3,['Myosin-A'],1,"[np.int64(1927), np.int64(1774), np.int64(1793)]",98.67,1128,1,"['1128_2', '6685_6']",2
0_65427_2,hetero,2,1,3,['Actin-related protein 2/3 complex subunit 2'],1,"[np.int64(1705), np.int64(4425), np.int64(4208)]",60.67,14619,1,"['14619_7', '6685_112']",2
0_64117_1,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(10), np.int64(4503), np.int64(4204)]",32.0,57138,1,"['57138_2', '6685_128', '6685_130']",3
0_78931_1,hetero,2,1,3,['Talin-1'],1,"[np.int64(735), np.int64(720), np.int64(700)]",52.67,65302,1,"['65302_3', '6685_121']",2
0_78931_2,hetero,2,1,3,['Talin-1'],1,"[np.int64(736), np.int64(721), np.int64(701)]",44.67,65302,1,"['65302_4', '6685_249']",2
0_84584_0,hetero,2,1,3,"['WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(1207), np.int64(1190), np.int64(1273)]",54.33,67810,1,"['6685_266', '67810_0']",2
0_30898_1,hetero,2,1,3,['Filamin-A'],1,"[np.int64(3652), np.int64(3674), np.int64(3718)]",39.0,15620,1,"['15620_1', '6685_15']",2
0_27409_1,hetero,2,1,3,['Unconventional myosin-Ib'],1,"[np.int64(4449), np.int64(2971), np.int64(4585)]",43.0,1226,1,"['1226_1', '6685_33']",2
0_27409_0,hetero,2,1,3,['Unconventional myosin-Ib'],1,"[np.int64(4507), np.int64(2999), np.int64(4524)]",105.0,1226,1,"['1226_0', '6685_6']",2
0_86788_1,hetero,2,1,3,['Inositol-trisphosphate 3-kinase A'],1,"[np.int64(1525), np.int64(1489), np.int64(1549)]",33.0,69425,1,"['6685_241', '69425_1']",2
0_65426_0,hetero,2,1,3,['Actin-related protein 2/3 complex subunit 1'],1,"[np.int64(1781), np.int64(4485), np.int64(4296)]",39.0,10005,1,"['10005_5', '6685_144']",2
0_64117_0,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(33), np.int64(4523), np.int64(4228)]",30.0,57138,1,"['57138_1', '6685_128']",2
0_37640_3,hetero,2,1,3,['F-actin-capping protein subunit alpha-1'],1,"[np.int64(684), np.int64(4437), np.int64(2004)]",71.0,17396,1,"['17396_10', '17396_14', '17396_5', '6685_14', '6685_92']",5
0_62487_0,hetero,2,1,3,['Plastin-3'],1,"[np.int64(1979), np.int64(2000), np.int64(2024)]",73.33,56034,1,"['56034_0', '6685_29']",2
0_64117_3,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(4421), np.int64(4398), np.int64(4084)]",22.67,57138,1,"['57138_4', '6685_135']",2
0_68030_2,hetero,2,1,3,['Tropomodulin-1'],1,"[np.int64(409), np.int64(127), np.int64(456)]",36.0,59014,1,"['59014_2', '6685_59']",2
0_64117_4,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(4375), np.int64(4355), np.int64(4062)]",15.67,57138,1,"['57138_5', '6685_137', '6685_251']",3
0_7797_37,homo,1,1,3,[],0,"[np.int64(480), np.int64(2293), np.int64(2186)]",34.0,6685,1,"['6685_1', '6685_171', '6685_2']",3
0_77539_1,hetero,2,1,3,['Cell invasion protein SipA'],1,"[np.int64(3920), np.int64(3944), np.int64(3818)]",44.0,64640,1,"['64640_1', '6685_235']",2
0_77539_3,hetero,2,1,3,['Cell invasion protein SipA'],1,"[np.int64(3841), np.int64(3897), np.int64(3876)]",59.0,64640,1,"['64640_3', '6685_179']",2
0_71990_3,hetero,2,1,3,['Cell invasion protein SipA'],1,"[np.int64(344), np.int64(264), np.int64(237)]",35.67,29706,1,"['29706_3', '6685_190']",2
0_77539_2,hetero,2,1,3,['Cell invasion protein SipA'],1,"[np.int64(3896), np.int64(3945), np.int64(3921)]",32.0,64640,1,"['64640_2', '6685_236']",2
0_64117_6,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(4327), np.int64(4288), np.int64(3996)]",14.0,57138,1,"['57138_7', '6685_139']",2
0_64117_2,hetero,2,1,3,['Tropomyosin alpha-1 chain'],1,"[np.int64(4548), np.int64(4445), np.int64(4261)]",24.0,57138,1,"['57138_3', '6685_128', '6685_129']",3
0_78734_5,hetero,2,1,2,['Tropomyosin beta chain'],1,"[np.int64(2404), np.int64(2382)]",19.0,65196,1,"['65196_12', '6685_246']",2
0_68016_0,hetero,2,1,2,['Adducin 1'],1,"[np.int64(182), np.int64(4540)]",104.5,58915,1,"['58915_4', '6685_150']",2
0_78738_1,hetero,2,1,2,['Tropomyosin alpha-1 chain'],1,"[np.int64(4247), np.int64(4279)]",56.0,34091,1,"['34091_3', '6685_128', '6685_129']",3
0_68016_1,hetero,2,1,2,['Adducin 1'],1,"[np.int64(250), np.int64(4575)]",70.5,58915,1,"['58915_7', '6685_151']",2
0_68016_2,hetero,2,1,2,['Adducin 1'],1,"[np.int64(202), np.int64(4538)]",65.5,58915,1,"['58915_8', '6685_152']",2
0_84584_1,hetero,2,1,2,"['WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase']",1,"[np.int64(1189), np.int64(1256)]",83.0,67810,1,"['6685_267', '67810_2']",2
0_78738_0,hetero,2,1,2,['Tropomyosin alpha-1 chain'],1,"[np.int64(4345), np.int64(4313)]",18.5,34091,1,"['34091_1', '6685_128', '6685_129']",3
0_54455_5,hetero,3,2,2,"['F-actin-capping protein subunit beta', 'Isoform 2 of F-actin-capping protein subunit beta']",2,"[np.int64(4438), np.int64(2005)]",14.5,18205,1,"['18205_16', '6685_169']",2
0_78738_2,hetero,2,1,2,['Tropomyosin alpha-1 chain'],1,"[np.int64(4219), np.int64(4195)]",35.0,34091,1,"['34091_4', '6685_128']",2
0_62063_2,hetero,2,1,2,['Actin-related protein 3'],1,"[np.int64(2343), np.int64(4281)]",24.5,7715,1,"['6685_107', '7715_12']",2
0_36173_1,hetero,2,1,2,['Vinculin'],1,"[np.int64(3105), np.int64(3054)]",75.5,331,1,"['331_1', '6685_6']",2
0_71809_4,hetero,2,1,2,['Cell invasion protein SipA'],1,"[np.int64(1312), np.int64(1345)]",18.0,61390,1,"['61390_4', '6685_181']",2
0_7797_47,homo,1,1,2,[],0,"[np.int64(2900), np.int64(2837)]",21.5,6685,1,"['6685_115', '6685_116', '6685_216']",3
0_36173_0,hetero,2,1,2,['Vinculin'],1,"[np.int64(3070), np.int64(3104)]",93.5,331,1,"['331_0', '6685_51']",2
0_83109_0,hetero,2,1,2,['Growth arrest-specific protein 2'],1,"[np.int64(142), np.int64(178)]",32.5,67461,1,"['6685_15', '67461_0']",2
0_68030_0,hetero,2,1,2,['Tropomodulin-1'],1,"[np.int64(448), np.int64(169)]",214.0,59014,1,"['59014_0', '6685_162']",2
0_27063_1,hetero,2,1,2,"['Myosin-14,Alpha-actinin A']",1,"[np.int64(3135), np.int64(3082)]",27.0,386,1,"['386_1', '6685_80']",2
0_27063_0,hetero,2,1,2,"['Myosin-14,Alpha-actinin A']",1,"[np.int64(3116), np.int64(3098)]",120.0,386,1,"['386_0', '6685_6']",2
0_68030_1,hetero,2,1,2,['Tropomodulin-1'],1,"[np.int64(429), np.int64(149)]",191.0,59014,1,"['59014_1', '6685_164']",2
0_3962_0,hetero,2,1,2,['Gelsolin'],1,"[np.int64(93), np.int64(68)]",176.5,9986,1,"['6685_273', '9986_0']",2
0_65426_2,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 1'],1,"[np.int64(4450), np.int64(4233)]",22.0,10005,1,"['10005_6', '6685_193']",2
0_55905_3,hetero,2,1,2,['Actin-related protein 3'],1,"[np.int64(4467), np.int64(4265)]",38.0,7269,1,"['6685_107', '7269_13']",2
0_7797_44,homo,1,1,2,[],0,"[np.int64(938), np.int64(94)]",34.0,6685,1,"['6685_1', '6685_2']",2
0_74512_7,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2843), np.int64(2761)]",32.0,62741,1,"['62741_7', '6685_223']",2
0_62130_0,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 1B'],1,"[np.int64(2372), np.int64(4317)]",29.0,10300,1,"['10300_9', '6685_144', '6685_15']",3
0_65427_3,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 2'],1,"[np.int64(4486), np.int64(4297)]",31.0,14619,1,"['14619_5', '6685_146', '6685_195']",3
0_17163_2,hetero,2,1,2,['PHOSPHATASE AND ACTIN REGULATOR 1'],1,"[np.int64(945), np.int64(1009)]",59.5,39476,1,"['39476_2', '6685_14']",2
0_17163_1,hetero,2,1,2,['PHOSPHATASE AND ACTIN REGULATOR 1'],1,"[np.int64(966), np.int64(910)]",120.0,39476,1,"['39476_1', '6685_14']",2
0_17163_0,hetero,2,1,2,['PHOSPHATASE AND ACTIN REGULATOR 1'],1,"[np.int64(989), np.int64(926)]",107.0,39476,1,"['39476_0', '6685_14']",2
0_62065_1,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 2'],1,"[np.int64(2319), np.int64(4251)]",26.5,16098,1,"['16098_5', '6685_111', '6685_184']",3
0_62065_2,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 2'],1,"[np.int64(2295), np.int64(4222)]",45.0,16098,1,"['16098_6', '6685_112', '6685_168']",3
0_62131_0,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 3'],1,"[np.int64(2417), np.int64(4368)]",19.0,29503,1,"['29503_2', '6685_113']",2
0_74512_1,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2904), np.int64(2818)]",56.0,62741,1,"['62741_0', '6685_218']",2
0_74512_2,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2892), np.int64(2804)]",25.0,62741,1,"['62741_0', '6685_218']",2
0_74512_3,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2880), np.int64(2788)]",26.0,62741,1,"['62741_3', '6685_219']",2
0_74512_4,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2881), np.int64(2789)]",33.0,62741,1,"['62741_4', '6685_220']",2
0_74512_5,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2859), np.int64(2772)]",17.0,62741,1,"['62741_5', '6685_221']",2
0_74512_6,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(2860), np.int64(2773)]",48.0,62741,1,"['62741_6', '6685_222']",2
0_7797_43,homo,1,1,2,[],0,"[np.int64(951), np.int64(884)]",29.5,6685,1,"['6685_1', '6685_2']",2
0_74517_0,hetero,2,1,2,['Protein diaphanous homolog 1'],1,"[np.int64(2611), np.int64(2594)]",30.0,5616,1,"['5616_6', '6685_225']",2
0_65468_1,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 3'],1,"[np.int64(4487), np.int64(4298)]",10.5,30084,1,"['30084_5', '6685_194']",2
0_74512_0,hetero,2,1,2,['Inverted formin-2'],1,"[np.int64(3202), np.int64(3185)]",74.0,62741,1,"['62741_0', '6685_0']",2
0_40054_2,hetero,2,1,2,['Myosin-7'],1,"[np.int64(30), np.int64(4520)]",32.0,48,1,"['48_2', '6685_25']",2
0_65427_4,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 2'],1,"[np.int64(4451), np.int64(4234)]",27.5,14619,1,"['14619_2', '6685_111']",2
0_54455_2,hetero,3,2,2,"['F-actin-capping protein subunit beta', 'Isoform 2 of F-actin-capping protein subunit beta']",2,"[np.int64(685), np.int64(711)]",14.0,18205,1,"['18205_1', '18205_11', '6685_169', '6685_90']",4
0_40054_1,hetero,2,1,2,['Myosin-7'],1,"[np.int64(154), np.int64(129)]",16.5,48,1,"['48_2', '6685_25']",2
0_58710_1,hetero,2,1,2,"['Maltose/maltodextrin-binding periplasmic protein,Adenylate cyclase ExoY']",1,"[np.int64(3163), np.int64(3142)]",16.0,53936,1,"['53936_1', '6685_25']",2
0_7797_35,homo,1,1,2,[],0,"[np.int64(2462), np.int64(2443)]",98.0,6685,1,"['6685_117', '6685_3']",2
0_83109_1,hetero,2,1,2,['Growth arrest-specific protein 2'],1,"[np.int64(116), np.int64(162)]",95.5,67461,1,"['6685_16', '67461_1']",2
0_62132_0,hetero,2,1,2,['Actin-related protein 2/3 complex subunit 4'],1,"[np.int64(2320), np.int64(4252)]",59.0,30848,1,"['30848_8', '6685_114']",2
0_62427_0,hetero,2,1,1,"['Maltose/maltodextrin-binding periplasmic protein,TccC3']",1,[np.int64(2211)],38.0,55985,1,"['55985_0', '6685_119']",2
0_55905_2,hetero,2,1,1,['Actin-related protein 3'],1,[np.int64(1759)],22.0,7269,1,"['6685_143', '7269_11']",2
0_62065_0,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 2'],1,[np.int64(2344)],18.0,16098,1,"['16098_4', '6685_110']",2
0_62063_3,hetero,2,1,1,['Actin-related protein 3'],1,[np.int64(2318)],40.0,7715,1,"['6685_108', '7715_13']",2
